Date      Action   Price  Shares  TradeAmt  Fee  TradeGain  TotalGain  Position  PosValue  FloatGain  Cash     AcctAsset  RealAsset
24/04/25  BUY      32.7   200.0   6550.0    6.5  0.0        0.0        200.0     6550.0    -6.5       3443.5   9993.5     9993.5   
24/04/26  SELL     36.4   20.0    727.2     0.7  70.8       70.8       180.0     6544.8    643.9      4170.0   10714.8    10714.8  
24/05/01  BUY      34.2   15.0    512.8     0.5  0.0        70.8       195.0     6666.1    251.9      3656.7   10322.7    10322.7  
24/05/03  SELL     37.5   20.0    750.0     0.7  91.4       162.2      175.0     6562.5    806.2      4405.9   10968.4    10968.4  
24/05/06  SELL     40.4   20.0    807.4     0.8  148.7      310.9      155.0     6257.3    1158.9     5212.5   11469.9    11469.9  
24/05/06  HARVEST  40.8   0.0     500.0     0.0  0.0        310.9      155.0     6317.8    1219.4     4712.5   11030.3    11530.3  
24/05/09  BUY      37.7   15.0    566.0     0.6  0.0        310.9      170.0     6415.0    749.9      4145.9   10560.9    11060.9  
24/05/13  SELL     39.7   20.0    794.9     0.8  127.6      438.6      150.0     5961.7    963.2      4940.0   10901.8    11401.8  
24/05/15  SELL     42.0   20.0    840.8     0.8  173.5      612.1      130.0     5465.2    1133.1     5780.0   11245.2    11745.2  
24/05/23  SELL     51.7   20.0    1033.2    1.0  365.7      977.8      110.0     5682.6    2017.0     6812.2   12494.8    12994.8  
24/05/24  SELL     53.8   20.0    1076.8    1.1  409.2      1387.0     90.0      4845.6    1846.5     7887.9   12733.5    13233.5  
24/05/28  SELL     58.8   10.0    588.1     0.6  254.3      1641.3     80.0      4704.8    2038.9     8475.4   13180.2    13680.2  
24/05/30  BUY      59.1   20.0    1181.8    1.2  0.0        1641.3     100.0     5909.0    2060.1     7292.4   13201.4    13701.4  
24/05/31  BUY      56.5   20.0    1130.2    1.1  0.0        1641.3     120.0     6781.2    1801.0     6161.1   12942.3    13442.3  
24/05/31  BUY      54.1   20.0    1082.8    1.1  0.0        1641.3     140.0     7579.6    1515.5     5077.2   12656.8    13156.8  
24/05/31  SELL     56.7   20.0    1133.8    1.1  266.4      1907.6     120.0     6802.8    1605.0     6209.9   13012.7    13512.7  
24/06/03  SELL     61.3   20.0    1225.4    1.2  357.9      2265.5     100.0     6126.9    1795.5     7434.0   13561.0    14061.0  
24/06/04  SELL     63.3   20.0    1266.5    1.3  398.9      2664.4     80.0      5066.0    1600.8     8699.3   13765.3    14265.3  
24/06/04  HARVEST  63.7   0.0     500.0     0.0  0.0        2664.4     80.0      5094.4    1629.2     8199.3   13293.7    14293.7  
24/06/06  BUY      67.1   20.0    1341.2    1.3  0.0        2664.4     100.0     6706.0    1898.3     6856.7   13562.7    14562.7  
24/06/10  SELL     69.9   20.0    1398.2    1.4  435.3      3099.7     80.0      5592.8    1746.6     8253.5   13846.3    14846.3  
24/06/11  BUY      67.6   20.0    1352.2    1.4  0.0        3099.7     100.0     6761.0    1561.3     6900.0   13661.0    14661.0  
24/06/12  SELL     75.0   20.0    1500.0    1.5  458.6      3558.3     80.0      6000.0    1840.2     8398.5   14398.5    15398.5  
24/06/12  BUY      72.3   20.0    1446.0    1.4  0.0        3558.3     100.0     7230.0    1622.8     6951.0   14181.0    15181.0  
24/06/13  SELL     76.7   20.0    1534.0    1.5  411.0      3969.3     80.0      6136.0    1650.2     8483.5   14619.5    15619.5  
24/06/14  BUY      79.4   20.0    1588.4    1.6  0.0        3969.3     100.0     7942.0    1866.2     6893.5   14835.5    15835.5  
24/06/18  SELL     82.2   20.0    1643.4    1.6  426.6      4395.9     80.0      6573.6    1713.0     8535.2   15108.8    16108.8  
24/06/20  BUY      83.4   20.0    1667.6    1.7  0.0        4395.9     100.0     8338.0    1808.1     6866.0   15204.0    16204.0  
24/06/20  BUY      79.8   20.0    1595.3    1.6  0.0        4395.9     120.0     9571.8    1445.0     5269.1   14840.9    15840.9  
24/06/20  SELL     82.2   20.0    1643.6    1.6  287.5      4683.4     100.0     8218.0    1445.7     6911.0   15129.0    16129.0  
24/06/20  BUY      79.8   20.0    1596.4    1.6  0.0        4683.4     120.0     9578.4    1208.1     5313.0   14891.4    15891.4  
24/06/21  BUY      72.9   20.0    1458.4    1.5  0.0        4683.4     140.0     10208.8   378.6      3853.2   14062.0    15062.0  
24/06/21  SELL     76.1   20.0    1521.1    1.5  115.3      4798.6     120.0     9126.7    700.8      5372.8   14499.5    15499.5  
24/06/24  BUY      67.3   20.0    1345.8    1.3  0.0        4798.6     140.0     9420.6    -352.4     4025.6   13446.2    14446.2  
24/06/24  BUY      64.7   15.0    970.4     1.0  0.0        4798.6     155.0     10027.0   -717.4     3054.3   13081.3    14081.3  
24/06/25  SELL     68.2   20.0    1364.6    1.4  -23.1      4775.5     135.0     9211.1    -146.9     4417.6   13628.6    14628.6  
24/06/25  SELL     70.5   20.0    1410.2    1.4  22.4       4797.9     115.0     8108.7    137.1      5826.3   13935.0    14935.0  
