run_name,changed_parameter,changed_value,score,final_account_equity,real_final_assets,total_invested_cash,profit_on_invested_cash,return_on_invested_cash,return_on_initial_cash,buy_hold_return,benchmark_initial_assets,benchmark_invested_assets,max_drawdown,real_asset_max_drawdown,benchmark_initial_max_drawdown,trades,win_rate,commissions,final_cash,final_shares,final_position_value,harvested_cash,subsidized_cash,net_external_cash_flow,planned_buys,submitted_buys,skipped_buys,planned_sells,submitted_sells,skipped_sells
baseline,,,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
moving_average.window_days=126,moving_average.window_days,126,48.2673282278988,35973.427900945084,45473.427900945084,23000.0,22473.427900945084,97.71055609106558,354.73427900945086,209.6031570579473,30960.31570579473,71208.72612332788,-58.19728163824954,-46.37971441939609,-69.89439531730727,490,53.673469387755105,726.2626159502066,9612.910509258722,257.38300000000004,26304.541814529428,9500.0,13000.0,-3500.0,259,246,13,289,283,6
moving_average.window_days=189,moving_average.window_days,189,49.573681141172436,30055.05267972592,40555.05267972592,21000.0,19555.052679725923,93.11929847488534,305.5505267972593,209.6031570579473,30960.31570579473,65016.662982168935,-57.04008289856397,-40.047000942500134,-69.89439531730727,495,54.34343434343434,713.0255652462847,9612.934011006435,199.59599999999995,20398.710590881346,10500.0,11000.0,-500.0,259,248,11,289,273,16
moving_average.window_days=252,moving_average.window_days,252,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
moving_average.window_days=315,moving_average.window_days,315,59.62751017692921,24707.775456916206,35207.775456916206,18000.0,17207.775456916206,95.59875253842335,252.07775456916207,209.6031570579473,30960.31570579473,55728.56827043051,-54.77120786099089,-31.896250986619947,-69.89439531730727,489,55.828220858895705,703.3242552915921,11987.217605000482,124.20299999999997,12693.546220962524,10500.0,8000.0,2500.0,259,253,6,289,263,26
moving_average.window_days=378,moving_average.window_days,378,60.99923762972321,24284.49010105066,35284.49010105066,18000.0,17284.49010105066,96.02494500583698,252.8449010105066,209.6031570579473,30960.31570579473,55728.56827043051,-53.77153299857975,-31.08925097049727,-69.89439531730727,488,54.91803278688525,706.0779355818984,11987.223680114592,120.07,12271.15363357544,11000.0,8000.0,3000.0,259,255,4,289,260,29
zones.high.price_multiple=1.15,zones.high.price_multiple,1.15,65.26646677260739,21234.074309300144,32234.074309300144,16000.0,16234.074309300144,101.46296443312588,222.34074309300144,209.6031570579473,30960.31570579473,49536.505129271565,-55.647078896303434,-32.583852351572254,-69.89439531730727,487,54.41478439425052,703.3767924302216,11987.210012801146,90.286,9227.228924468996,11000.0,6000.0,5000.0,259,253,6,289,261,28
zones.high.price_multiple=1.2,zones.high.price_multiple,1.2,66.72905457190869,23471.280112828175,34471.28011282817,17000.0,17471.28011282817,102.7722359578128,244.7128011282817,209.6031570579473,30960.31570579473,52632.536699851036,-54.83542988757664,-32.345119260485966,-69.89439531730727,487,54.82546201232032,710.2459388228309,11070.981710385815,121.07600000000002,12373.966830505375,11000.0,7000.0,4000.0,259,252,7,289,262,27
zones.high.price_multiple=1.25,zones.high.price_multiple,1.25,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
zones.high.price_multiple=1.3,zones.high.price_multiple,1.3,63.9732725159896,29852.464691573157,40352.46469157316,20000.0,20352.464691573157,101.76232345786578,303.5246469157316,209.6031570579473,30960.31570579473,61920.63141158946,-51.26856655843959,-34.54417203773532,-69.89439531730727,459,55.773420479302835,720.2933208131757,9612.92779166026,197.61800000000005,20196.558996917734,10500.0,10000.0,500.0,259,250,9,289,272,17
